For point = 76, K =-1109.4281414311354, D =-12.177812081898852, intercept: 0.06915510050114149
For point = 77, K =-1519.552708353302, D =-21.308201618010877, intercept: -0.05328997608437147
For point = 78, K =-1090.8395416870935, D =-11.871767541251373, intercept: 0.05255351040987599
For point = 79, K =-1614.4800006723503, D =-25.860094064464356, intercept: -0.08592502531044977
For point = 80, K =-1095.1069189928455, D =-11.86342211343466, intercept: 0.06271917806246918
For point = 81, K =-1106.535379853347, D =-12.084007573281387, intercept: 0.06509491715562588
For point = 82, K =-1617.0382305302219, D =-26.137604137426536, intercept: -0.07108854122550445
For point = 83, K =-1632.8028195216673, D =-27.44197021489532, intercept: -0.06900795479806865
For point = 84, K =-1116.0255350343314, D =-12.131608914190322, intercept: 0.058194476867383216
For point = 85, K =-1580.1809428267359, D =-22.591114298368986, intercept: -0.05215797951240164
For point = 86, K =-1171.3926277877722, D =-12.480526363672457, intercept: 0.060844753941089236
For point = 87, K =-1199.314403246346, D =-12.745455826532444, intercept: 0.06588108944928073
For point = 88, K =-1144.449428226192, D =-12.202925858322743, intercept: 0.0017181001294288567
For point = 89, K =-1690.139729077057, D =-29.2854920200941, intercept: -0.09569330483502281
For point = 90, K =-1185.8754200814117, D =-12.432254342275483, intercept: 0.04934634032729157
For point = 91, K =-1201.993975778384, D =-12.782436599201462, intercept: 0.039404625792359704
For point = 92, K =-1213.0768536165847, D =-13.039658044689718, intercept: 0.021681164273174014
For point = 93, K =-1616.8223911900666, D =-25.44471532516567, intercept: -0.08689184719517806
For point = 94, K =-1662.647698521451, D =-28.753441497169934, intercept: -0.09488744744086164
For point = 95, K =-1181.8154051031804, D =-12.548409295384971, intercept: 0.015641801034952163
For point = 96, K =-1640.685386900312, D =-23.24118140978657, intercept: -0.05216139691161592
For point = 97, K =-1552.1156090661539, D =-20.41580100286023, intercept: -0.07329804658014138
For point = 98, K =-1407.1392780111967, D =-15.367598931776165, intercept: 0.022660406294321422
For point = 99, K =-1263.7173934432335, D =-13.411017663642692, intercept: 0.03860499131819495
For point = 100, K =-1678.679128779615, D =-28.75602519218547, intercept: -0.12296376612292148
For point = 101, K =-1714.692477530754, D =-27.51965771202498, intercept: -0.2124751573960797
For point = 102, K =-1267.6840655020853, D =-13.164188104437981, intercept: 0.020326850960138643
For point = 103, K =-1665.6712082347983, D =-27.9278053977078, intercept: -0.08574479465243767
For point = 104, K =-1476.6594133449214, D =-16.372715884881636, intercept: 0.004837145403005394
For point = 105, K =-1807.3750139149975, D =-22.795010450148034, intercept: 0.007592450232130066
For point = 106, K =-1823.001763020304, D =-21.598646020067036, intercept: 0.024622862756230823
For point = 107, K =-1814.600833895312, D =-21.472955134639083, intercept: 0.02381331375522766
For point = 108, K =-1370.3905507484137, D =-15.88656648840023, intercept: 0.08221611476644508
For point = 109, K =-1002.1294337375447, D =-11.241295816995931, intercept: -0.04113659323127905
For point = 110, K =-1815.5733570942948, D =-22.246635616223625, intercept: 0.00884841210723497
For point = 111, K =-1811.3228742387137, D =-22.415006949331815, intercept: 0.004078558553318956
For point = 112, K =-1092.9334125674754, D =-12.541776747297973, intercept: 0.07839432159083826
For point = 113, K =-1786.8280110092269, D =-20.71124483816067, intercept: -0.14258785885688807
For point = 114, K =-1227.3806655013416, D =-14.167996962195444, intercept: 0.0873039350134357
For point = 115, K =-1087.162723764873, D =-12.62264300845273, intercept: -0.05908804687269109
For point = 116, K =-1812.2010758703834, D =-20.801412904446828, intercept: 0.03671335987392199
For point = 117, K =-1827.7885990931843, D =-21.26720676562137, intercept: 0.03748965997357878
For point = 118, K =-1611.4661706347608, D =-18.031840968298397, intercept: 0.052117407444321806
For point = 119, K =-1823.1565185229274, D =-21.132057854704726, intercept: 0.042493547600884085
For point = 120, K =-1777.4888082302411, D =-20.818769532941843, intercept: -0.12367392674691136
For point = 121, K =-1809.05768433366, D =-20.476408171983774, intercept: 0.030592616692523222
For point = 122, K =-1345.204400983993, D =-14.906755408633108, intercept: 0.006948662608476486
For point = 123, K =-1716.9855809732107, D =-19.510511289076003, intercept: 0.028800504771473445
For point = 124, K =-1821.3314075107105, D =-23.155780729392976, intercept: 0.035930470541493786
For point = 125, K =-1311.565753967914, D =-14.472148574942912, intercept: -0.026072972739379363
For point = 126, K =-1810.6242721090528, D =-21.921662639575068, intercept: 0.03627254367338484
For point = 127, K =-1814.2269233024274, D =-22.116544498231566, intercept: 0.03718374205316932
For point = 128, K =-1630.1540913025397, D =-18.217307435018785, intercept: 0.04130071203406338
For point = 129, K =-1767.6899767727682, D =-21.53551621027407, intercept: 0.019280589949320692
For point = 130, K =-1447.0957730010778, D =-16.050691014862746, intercept: 0.029404452753431176
For point = 131, K =-1771.8872569334924, D =-20.736917537717485, intercept: 0.02653532988259899
For point = 132, K =-1805.6134715855776, D =-21.830465779380344, intercept: 0.03431635415233458
For point = 133, K =-1757.1075480465163, D =-21.73046448180735, intercept: 0.027927267982710724
For point = 134, K =-1722.0424632665415, D =-21.44652721612571, intercept: -0.12917857672793076
For point = 135, K =-1325.4020955199128, D =-14.423214177836599, intercept: -0.11366139945001796
For point = 136, K =-1572.6122133392478, D =-17.42844493819162, intercept: 0.026646327152661797
For point = 137, K =-1715.3785425403191, D =-19.86423986581051, intercept: 0.025065481402235967
For point = 138, K =-1691.8753235213137, D =-22.20210837682222, intercept: -0.04629656143609706
For point = 139, K =-1709.8084823655502, D =-19.65166497427461, intercept: 0.017510311791109512
