For point: 35, Error: 0.11962101879570948
For point: 39, Error: 0.12902980006321343
For point: 41, Error: 0.07825620393173602
For point: 42, Error: 0.088728674698087
For point: 44, Error: 0.28207273777812225
For point: 45, Error: 0.1274084792722469
For point: 46, Error: 0.10027888321422239
For point: 49, Error: 0.12297518918146534
For point: 50, Error: 0.09044460158546246
For point: 51, Error: 0.11563298982610543
For point: 55, Error: 0.19169985870802306
For point: 70, Error: 0.1719748977461408
For point: 72, Error: 0.10852028019284846
For point: 73, Error: 0.13204177793076352
For point: 76, Error: 0.09585731313759911
For point: 78, Error: 0.11234336928123022
For point: 79, Error: 0.15741759897692412
For point: 81, Error: 0.06989041023138508
For point: 83, Error: 0.07998298167782786
For point: 85, Error: 0.2287098363420953
For point: 86, Error: 0.05851220564935232
For point: 92, Error: 0.08066623090495818
For point: 93, Error: 0.07605456902964788
For point: 94, Error: 0.06780356308971172
For point: 95, Error: 0.0900542644739811
For point: 96, Error: 0.10208015447909367
For point: 97, Error: 0.062340687673446915
For point: 98, Error: 0.13909011419835102
For point: 99, Error: 0.02861425651359809
For point: 100, Error: 0.1073339111768639
For point: 101, Error: 0.11821538632315302
For point: 103, Error: 0.06009184023555323
